CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,49,123,16
2,Female,56,65,51
3,Male,66,68,86
4,Male,69,22,57
5,Male,49,41,29
6,Female,21,41,78
7,Male,47,112,92
8,Male,54,35,69
9,Male,40,44,47
10,Female,56,111,94
11,Male,62,42,62
12,Male,32,125,69
13,Male,60,78,76
14,Male,46,111,16
15,Female,53,83,90
16,Male,30,138,90
17,Female,49,75,48
18,Female,24,62,85
19,Female,68,33,39
20,Male,39,18,100
21,Female,45,49,33
22,Male,19,78,94
23,Female,59,63,23
24,Female,62,31,10
25,Female,70,58,69
26,Female,23,106,100
27,Female,45,44,34
28,Female,45,107,52
29,Female,61,60,95
30,Female,61,131,10
31,Male,37,20,19
32,Male,47,113,58
33,Female,28,138,96
34,Female,45,119,1
35,Female,42,51,69
36,Male,56,38,4
37,Female,50,107,16
38,Male,18,127,24
39,Male,44,60,80
40,Male,69,67,2
41,Male,30,109,92
42,Male,58,113,32
43,Female,20,74,91
44,Female,56,111,84
45,Female,23,130,24
46,Female,25,77,12
47,Female,44,139,50
48,Male,26,99,35
49,Female,54,46,33
50,Female,50,101,33
51,Male,68,47,61
52,Female,59,81,51
53,Male,61,32,43
54,Female,41,39,12
55,Male,32,120,67
56,Female,49,109,65
57,Female,49,68,33
58,Male,41,72,40
59,Male,58,81,74
60,Male,69,118,43
61,Male,66,60,44
62,Male,66,38,29
63,Male,69,128,13
64,Male,29,46,12
65,Male,56,61,95
66,Female,19,100,46
67,Female,20,37,2
68,Male,66,80,35
69,Female,54,41,87
70,Female,66,120,81
71,Female,34,16,90
72,Female,66,104,8
73,Male,19,31,93
74,Female,19,118,26
75,Male,45,47,74
76,Female,40,23,90
77,Female,54,57,34
78,Female,49,132,7
79,Male,50,62,68
80,Female,18,53,58
81,Male,36,107,75
82,Female,19,56,29
83,Male,70,133,36
84,Female,61,40,89
85,Male,43,113,21
86,Male,49,64,36
87,Female,23,39,10
88,Male,49,38,73
89,Female,21,27,24
90,Female,28,74,64
91,Female,34,136,99
92,Female,55,21,49
93,Female,41,71,99
94,Female,22,50,36
95,Female,69,59,82
96,Female,51,34,96
97,Female,23,79,24
98,Female,39,22,23
99,Female,28,124,62
100,Male,65,30,96
101,Male,33,28,37
102,Female,50,90,12
103,Female,26,129,55
104,Female,23,101,13
105,Female,33,29,23
106,Female,46,106,89
107,Female,20,112,99
108,Female,37,80,30
109,Female,53,46,17
110,Male,36,101,62
111,Female,43,77,84
112,Male,20,100,89
113,Female,36,65,86
114,Female,37,39,13
115,Male,49,72,59
116,Female,24,77,19
117,Male,69,76,49
118,Female,58,139,100
119,Female,50,36,12
120,Male,57,72,61
121,Female,56,72,19
122,Male,35,100,76
123,Female,57,63,9
124,Male,18,66,71
125,Male,28,56,28
126,Female,45,84,78
127,Female,42,29,95
128,Male,67,68,52
129,Female,40,121,83
130,Female,48,74,16
131,Female,47,115,69
132,Male,59,111,99
133,Male,52,22,12
134,Male,24,67,25
135,Male,33,74,52
136,Male,43,122,85
137,Male,65,122,100
138,Male,69,19,53
139,Male,66,117,23
140,Male,19,82,16
141,Female,18,20,57
142,Male,65,123,39
143,Female,29,110,53
144,Female,22,130,42
145,Female,54,108,58
146,Male,49,61,39
147,Male,26,113,14
148,Male,58,69,95
149,Male,52,54,5
150,Female,36,66,35
151,Male,65,30,87
152,Male,33,27,93
153,Male,20,128,75
154,Male,37,138,18
155,Male,41,120,76
156,Female,50,44,9
157,Male,41,33,74
158,Female,69,31,58
159,Male,28,134,17
160,Female,66,77,7
161,Male,25,33,46
162,Male,53,106,13
163,Female,55,72,40
164,Female,57,69,42
165,Female,37,104,9
166,Male,52,115,50
167,Female,65,104,27
168,Male,42,131,66
169,Male,52,76,5
170,Female,42,37,29
171,Female,46,23,37
172,Male,35,26,38
173,Male,63,131,83
174,Female,35,15,8
175,Female,19,72,65
176,Female,52,136,86
177,Male,33,15,17
178,Male,58,125,71
179,Male,53,48,89
180,Male,50,110,45
181,Male,21,140,4
182,Male,50,132,36
183,Female,31,62,70
184,Male,38,103,31
185,Male,65,118,19
186,Male,37,123,61
187,Female,25,131,54
188,Male,24,15,39
189,Male,20,30,91
190,Female,34,75,74
191,Male,50,117,90
192,Male,65,78,19
193,Male,29,77,39
194,Male,68,83,67
195,Male,39,36,45
196,Female,39,107,13
197,Female,63,133,92
198,Female,47,81,58
199,Male,55,90,20
200,Male,55,40,92
